day,date,distance,start,startProvince,end,endProvince,description,accomodations
67,2024-06-06,5025,Dufresne,MB,Dacotah,MB,Run past Winnipeg,https://docs.google.com/forms/d/e/1FAIpQLSfMaXAVQhK4sCqTmSrDE2jSpD7G3t2XdtQWO75GVUORQjd4Sw/viewform?usp=sf_link
68,2024-06-07,5100,Dacotah,MB,Caye,MB,,https://docs.google.com/forms/d/e/1FAIpQLSfrGsyyC6Gao2P--vcb_dpFHuSMgtFRw74vfLf-vWlPY8kRkw/viewform?usp=sf_link
69,2024-06-08,5175,Caye,MB,Douglas,MB,,https://docs.google.com/forms/d/e/1FAIpQLSej4YPYxaVzsn7VGsBC653NLgBJkpqnaBd9op3pfH0kcF637w/viewform?usp=sf_link
70,2024-06-09,5250,Douglas,MB,Oak Lake,MB,,https://docs.google.com/forms/d/e/1FAIpQLSebjpGhhiCZbnExRN0lWXM3mUBTMBd1m-fMAu0ND2wP6tj0ig/viewform?usp=sf_link
71,2024-06-10,5325,Oak Lake,MB,Fleming,SK,,https://docs.google.com/forms/d/e/1FAIpQLScyFzjJfXWvZum1QLiIhuYYYwzBkKLwULrCJLtX1TmN57Zesw/viewform?usp=sf_link
72,2024-06-11,5400,Fleming,SK,Percival,SK,,https://docs.google.com/forms/d/e/1FAIpQLSeVLJu67s6LTXtpVDfPuQHLW36b0i8VspkYRSItOIw6EFVBGg/viewform?usp=sf_link
73,2024-06-12,5475,Percival,SK,Sintaluta,SK,,https://docs.google.com/forms/d/e/1FAIpQLSd7SziT2EB_NTQJXqaAThwAYST__lKoOiQUY81zWOXE1IFmmA/viewform?usp=sf_link
74,2024-06-13,5550,Sintaluta,SK,Regina,SK,,https://docs.google.com/forms/d/e/1FAIpQLScDxDoegmWYbI5jGgDlLc6iR4BTR2lmd9vo43G7KaY1MC2n3g/viewform?usp=sf_link
75,2024-06-14,5625,Regina,SK,Moose Jaw,SK,,https://docs.google.com/forms/d/e/1FAIpQLSdpHxLBqeXy9k7aJY8RoU9UkEvP7gqvWDseZa6jm0Btm8w-vA/viewform?usp=sf_link
76,2024-06-15,5700,Moose Jaw,SK,Secretan,SK,,https://docs.google.com/forms/d/e/1FAIpQLSe4FvfKcNgvhpRhBzdTJANrv1VvfIBV2ENxLRSMgmLlO2j0dg/viewform?usp=sf_link
77,2024-06-16,5775,Secretan,SK,Rush Lake,SK,,https://docs.google.com/forms/d/e/1FAIpQLScgriKANX6JkvAcnny7cwCreGEn7Nm5p3REuOKeUqK4p78-sA/viewform?usp=sf_link
78,2024-06-17,5850,Rush Lake,SK,Antelope,SK,,https://docs.google.com/forms/d/e/1FAIpQLSe3kLxCuMn514pKu9TEa8DvBA_BivAB9zcDNovkAiDQ20lBzg/viewform?usp=sf_link
79,2024-06-18,5925,Antelope,SK,Hay Lake/Maple Creek,SK,,https://docs.google.com/forms/d/e/1FAIpQLSebUTEqgTKmGOTvoVJUX3fbWsobTKKO8czAdC3zhUDHsWkBvw/viewform?usp=sf_link
80,2024-06-19,6000,Hay Lake/Maple Creek,SK,Irvine,AB,,https://docs.google.com/forms/d/e/1FAIpQLSeLsLKeUIMA7Ehn0TxN6wQDTGOOZ2kMXuLi0LCDBZzLmMY8iA/viewform?usp=sf_link
81,2024-06-20,6075,Irvine,AB,Ralston,AB,,https://docs.google.com/forms/d/e/1FAIpQLSdUe5cUgxECqxkk8BZVeRSSN1gbE67cL-5uYdf-QZUpFqtZkQ/viewform?usp=sf_link
82,2024-06-21,6150,Ralston,AB,Southesk,AB,,https://docs.google.com/forms/d/e/1FAIpQLScZ2f7X9Vew_W2isD7DOxuomf0eQhmj26mfv87Gne54a5Rivg/viewform?usp=sf_link
83,2024-06-22,6225,Southesk,AB,Gleichen,AB,,https://docs.google.com/forms/d/e/1FAIpQLSc7sV60ruvPUiqIxOsufy7Ibe5dScNTQ_J1F_x-14UQI7eQ_Q/viewform?usp=sf_link
84,2024-06-23,6300,Gleichen,AB,Calgary,AB,,https://docs.google.com/forms/d/e/1FAIpQLSfNhB1rCb2gkQCQqaEAldTPvkHBhdNaWUPJKMdjGQA8iZ7feg/viewform?usp=sf_link
85,2024-06-24,6375,Calgary,AB,Morley,AB,Run through Calgary,https://docs.google.com/forms/d/e/1FAIpQLSfN0pcpcfCrhEaGF2_S1O6zzaVQXBoDj7NkltPvlrQiN41Q5Q/viewform?usp=sf_link
86,2024-06-25,6450,Morley,AB,Sawback,AB,,https://docs.google.com/forms/d/e/1FAIpQLScylwusNC9Uy91_656Jc7hHJEui4LAukU1Xg_rpw-V2kHA73Q/viewform?usp=sf_link
87,2024-06-26,6525,Sawback,AB,Field,BC,,https://docs.google.com/forms/d/e/1FAIpQLSfRSnqnLgX5ovo62TwOcpVLUVhd7SJzKZgH9hEBB3KKU7JDhg/viewform?usp=sf_link
88,2024-06-27,6600,Field,BC,Forde,BC,,https://docs.google.com/forms/d/e/1FAIpQLSewe3c8jkp-BxQmy9rwvUg1x6F5xczmsdR8v_S6dCkWAJyeEA/viewform?usp=sf_link
89,2024-06-28,6675,Forde,BC,Glacier,BC,,https://docs.google.com/forms/d/e/1FAIpQLScbAaNmCVuipocnMc2aVHpLAcZztkYRV-GXP-SgGzaafFV7Aw/viewform?usp=sf_link
90,2024-06-29,6750,Glacier,BC,Three Valley Gap,BC,,https://docs.google.com/forms/d/e/1FAIpQLSegM1jEOAu93y6b3uSNEbi8kZTB9g7q8o0FiKlecIZtdmktmg/viewform?usp=sf_link
91,2024-06-30,6825,Three Valley Gap,BC,South Canoe,BC,,https://docs.google.com/forms/d/e/1FAIpQLSf_sm8Cn3w5g_fe1GnoOOLJIOlNPxlFLTj9V-9S1s22ZjWCtA/viewform?usp=sf_link
92,2024-07-01,6900,South Canoe,BC,Pritchard,BC,,https://docs.google.com/forms/d/e/1FAIpQLSdCg2eMu45iX5Zz2oQt_tH8NjtNX_IOYeb_RzkalrVJ4mlIyQ/viewform?usp=sf_link
93,2024-07-02,6975,Pritchard,BC,Lac Le Jeune,BC,,https://docs.google.com/forms/d/e/1FAIpQLSd6RnSWeErToANgmbxK2sLc8KcKdqtjdaYmHyT0eF3VpqevTw/viewform?usp=sf_link
94,2024-07-03,7050,Lac Le Jeune,BC,Kingsvale,BC,,https://docs.google.com/forms/d/e/1FAIpQLSdbOxNOqjSscMpaO-mBOUW6FmBob2IdVwMnBs8NAuEqQR7sQA/viewform?usp=sf_link
95,2024-07-04,7125,Kingsvale,BC,Othello,BC,,https://docs.google.com/forms/d/e/1FAIpQLSei2P77VzS3XElBKYwwM3aq4IfBT5xNeZmfUJ9y09lnFmH3tQ/viewform?usp=sf_link
96,2024-07-05,7200,Othello,BC,Barrowtown,BC,,https://docs.google.com/forms/d/e/1FAIpQLSdAKkAb3nRK3uvcE-Qz74SLazXFvA-Qkhl1wZwm6nK7q_iI0Q/viewform?usp=sf_link
97,2024-07-06,7275,Barrowtown,BC,Surrey,BC,,https://docs.google.com/forms/d/e/1FAIpQLSeQOIUt4y53rxKsJYfsJuWG3PNgC2VAUi5st9UZciBqsA5-qQ/viewform?usp=sf_link
98,2024-07-07,7350,Surrey,BC,Victoria,BC,"Run to ferry, Take ferry and finish run",https://docs.google.com/forms/d/e/1FAIpQLSdSCgYa0O4r6RL5Wziqa4-bXIlR8Erem6_CnUVG2nd2DuL2rw/viewform?usp=sf_link
